#,ERL #,Area of Focus,Documentation Artifact,Artifact Description,SCF Control Mappings,"Relevant
CMMC 2.0 L2 Control"
1,E-GOV-01,Cybersecurity & Data Protection Management,Charter - Cybersecurity Program,Documented evidence of a charter to establish and resource the organization's cybersecurity program.,GOV-01,
2,E-GOV-02,Cybersecurity & Data Protection Management,Charter - Data Privacy Program,Documented evidence of a charter to establish and resource the organization's data privacy program.,"GOV-01
PRI-01",
3,E-GOV-03,Cybersecurity & Data Protection Management,Charter - Cybersecurity Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of cybersecurity management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.1
GOV-01.2",
4,E-GOV-04,Cybersecurity & Data Protection Management,Charter - Data Privacy Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of privacy management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
5,E-GOV-05,Cybersecurity & Data Protection Management,Charter - Audit Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of internal and external audit management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
6,E-GOV-06,Cybersecurity & Data Protection Management,Charter - Risk Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of risk management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
7,E-GOV-07,Cybersecurity & Data Protection Management,Charter - Data Management Board (DMB),Documented evidence of the organization's Data Management Board (DMB) charter and mission.,GOV-01.2,
8,E-GOV-08,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Policies,Documented evidence of an appropriately-scoped cybersecurity & data protection policies. Policies are high-level statements of management intent from an organization's executive leadership that are designed to influence decisions and guide the organization to achieve the desired outcomes. Policies are enforced by standards and further implemented by procedures to establish actionable and accountable requirements.,"GOV-02
80,E-BCM-17,Business Continuity,Designated Alternative Decision Makers,Documented evidence of personnel being assigned with decision-making authority if the primary decision maker is unable to communicate due to adverse conditions.,BCD-06.1,
81,E-CAP-01,Capacity Management,Capacity Planning,Documented evidence of proactive capacity planning to meet expected and anticipated future technology-related capacity and/or performance requirements.,"CAP-01
CAP-03",
82,E-CAP-02,Capacity Management,Resource Prioritization,"Documented evidence of resource prioritization to maintain business performance requirements for critical Technology Assets, Applications, Services and/or Data (TAASD) (including facilities and third-parties).",CAP-02,
83,E-CAP-03,Capacity Management,Technology Performance Monitoring,Documented evidence of performance monitoring for technology-related capacity and/or performance criteria.,CAP-04,
84,E-CAP-04,Capacity Management,Dynamic Expansion Capabilities,"Documented evidence of dynamic expansion capabilities (e.g., elastic expansion) to meet capacity and/or performance requirements for critical Technology Assets, Applications and/or Services (TAAS).",CAP-05,
85,E-CHG-01,Change Management,Business Impact Analysis (BIA),Documented evidence of a Business Impact Analysis (BIA) for proposed changes.,"RSK-08
TDA-06.1",
86,E-CHG-02,Change Management,Charter - Change Control Board (CCB),Documented evidence of the organization's Change Control Board (CCB) charter and mission to govern the organization's change control processes.,"CHG-01
CHG-02
CHG-02.1",
87,E-CHG-03,Change Management,Change Control Board (CCB) Minutes,Documented evidence of Change Control Board (CCB) meeting minutes,CHG-02.2,"CM.L2-3.4.1
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.8
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.5
SI.L1-3.14.1"
88,E-CHG-04,Change Management,Evidence of Cybersecurity / Data Privacy Reviews,"Documented evidence of Change Control Board (CCB) meeting-related security, compliance and/or resilience reviews for proposed change(s).","CHG-02.3
CHG-03",
89,E-CHG-05,Change Management,Change Control Records,"Documented evidence of change control records (including test results, when applicable).","CHG-02
CHG-02.2","CM.L2-3.4.1
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.6
CM.L2-3.4.8
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.5
SI.L1-3.14.1"
90,E-CHG-06,Change Management,Stakeholder Notification of Changes,Documented evidence of stakeholder notification communications for proposed changes.,CHG-05,
91,E-CPL-01,Compliance,"Statutory, Regulatory & Contractual Obligations","Documented evidence of applicable statutory, regulatory and/or contractual obligations for cybersecurity & data privacy controls.","CPL-01
MON-03",
92,E-CPL-02,Compliance,Defined Compliance Scope (DCS),"Documented evidence of a formal scoping document that identifies applicable statutory, regulatory and/or contractual obligations for the organization. Defines the affected Lines of Business (LOB), internal / external stakeholders and facilities for the specific scope of compliance obligations.","AST-04.1
AST-04.2
AST-04.3
CPL-01.2",
93,E-CPL-03,Compliance,Shared Responsibility Matrix (SRM) / Controls Responsibility Matrix (CRM),"Documented evidence of a Controls Responsibility Matrix (CRM), or similar documentation, that identifies the stakeholder involved in executing assigned controls (e.g., Responsible, Accountable, Supportive, Consulted & Informed (RASCI) matrix).","AST-01.2
AST-03
CLD-06.1
TPM-05.4",
94,E-CPL-04,Compliance,Internal Audit (IA),Documented evidence of an Internal Audit (IA) capability.,CPL-02.1,
95,E-CPL-05,Compliance,Internal Audit (IA) Findings,Documented evidence of a centrally-managed and prioritized repository Internal Audit (IA) findings.,"CPL-01.1
CPL-03
GOV-01.2",
96,E-CPL-06,Compliance,Manufacturer Disclosure Statement for Medical Device Security (MDS2),Documented Manufacturer Disclosure Statement for Medical Device Security (MDS2) that communicates information about medical device cybersecurity & data privacy characteristics to current device owners and potential buyers. [note MDS2 is specific to medical device manufacturers],"TDA-01.1
TDA-02.1
TDA-02.5
TDA-04
TDA-04.1
TPM-04
TPM-04.2",
97,E-CPL-07,Compliance,Control Assessments,Documented evidence of internal or third-party control assessments to provide governance oversight of cybersecurity & data privacy controls.,"CPL-02
CPL-02.1
CPL-03
CPL-03.1",
98,E-CPL-08,Compliance,Functional Review of Cybersecurity Controls,Documented evidence of control testing to ensure cybersecurity controls function as expected.,CPL-03.2,
99,E-CPL-09,Compliance,Non-Compliance Oversight Reporting,Documented evidence of governance oversight reporting of non-compliance to the organization's executive leadership.,"CPL-02
GOV-01.2",
100,E-CPL-10,Compliance,Statement of Applicability (SOA),"Documented Statement of Applicability (SOA), or similar document, that scopes compliance-related activities.",CPL-12,
101,E-CRY-01,Cryptographic Protections,Cryptographic Protections,Documented evidence of organization-approved cryptographic solutions and modules for both data at rest and in transit.,"CRY-01
CRY-03
CRY-04
CRY-05
CRY-09
CRY-09.1
CRY-09.2
DCH-01
DCH-01.2","AC.L2-3.1.13
AC.L2-3.1.19
SC.L2-3.13.10"
102,E-CRY-02,Cryptographic Protections,Cryptographic Key Management,Documented evidence of cryptographic key management practices.,CRY-09,
103,E-CRY-03,Cryptographic Protections,Certificate Monitoring,Documented evidence of certificate monitoring activities.,CRY-12,
104,E-DCH-01,Data Protection,Data Classification Scheme,Documented evidence of an organization-specific data classification scheme.,"AST-04.1
DCH-02",
105,E-DCH-02,Data Protection,Data Handling Practices,"Documented evidence of an organization-specific data handling practices (e.g., guidance specific the data classification scheme).","AST-04.1
DCH-01.1
DCH-01.2
DCH-01.4
DCH-02
DCH-06",
106,E-DCH-03,Data Protection,Network Diagram - Global System View (GSV),"Documented evidence of a high-level network diagram that provides a conceptual, logical depiction of the network(s) to describe the interconnections of the systems/applications/services, including internal and external interfaces.","AST-04
NET-02",
107,E-DCH-04,Data Protection,Network Diagram - Low Level,"Documented evidence of a low-level network diagram that provides a detailed, logical depiction of assets on the network(s).","AST-04
NET-02",
108,E-DCH-05,Data Protection,Data Flow Diagram (DFD),"Documented evidence of a Data Flow Diagram (DFD) that accurately identifies where sensitive/regulated data is stored, transmitted and/or processed.","AST-02.8
AST-04
NET-02",
109,E-DCH-06,Data Protection,Third-Party Inventories,"Documented evidence of an inventory of External Service Providers (ESP), contractors, vendors, etc. that directly or indirectly impact the organization's Technology Assets, Applications, Services and/or Data (TAASD).",TPM-01.1,
110,E-DCH-07,Data Protection,Media Sanitization Documentation,Documented evidence of media sanitization actions.,"DCH-09
DCH-09.1",MP.L1-3.8.3
111,E-DCH-08,Data Protection,Authorization Documentation,Documented evidence of that identifies authorized users and processes acting on behalf of authorized users.,"CFG-08
DCH-01.4","AC.L2-3.1.4
AC.L2-3.1.5
AU.L2-3.3.9"
112,E-DCH-09,Data Protection,Assigned Responsibilities,Documented evidence of data stewardship being assigned and communicated to individuals entrusted with sensitive and/or regulated data.,"CRY-01
DCH-01.1
DCH-14",
113,E-DCH-10,Data Protection,Structured & Unstructured Data Reviews,Documented evidence of a capability to review and/or scan data repositories (structured or unstructured) for instances of sensitive and/or regulated data.,DCH-06.3,
114,E-DCH-11,Data Protection,Authorized Users To Post Publicly Accessible Content,Documented evidence of list of users authorized to post publicly accessible content on organizational systems.,HRS-05.2,AC.L1-3.1.22
115,E-DCH-12,Data Protection,Publicly Accessible Information Reviews,Documented evidence of reviews for publicly accessible sensitive / regulated data.,"DCH-15
WEB-14",AC.L1-3.1.22
116,E-DCH-13,Data Protection,Media Storage Facilities,Documented evidence of media storage facilities.,"BCD-01.3
DCH-06",MP.L2-3.8.1
117,E-DCH-14,Data Protection,Media Transportation Records,Documented evidence of media transportation records.,DCH-07,MP.L2-3.8.6
118,E-DCH-15,Data Protection,Geolocation Restrictions,Documented evidence of geolocation restrictions placed on specific types of sensitive and/or regulated data for where that data can be stored and/or processed.,CLD-09,
119,E-SAT-01,Education,Continuing Professional Education (CPE),Documented evidence of Continuing Professional Education (CPE) requirements for cybersecurity & data privacy personnel.,SAT-03.7,
120,E-SAT-02,Education,Initial User Training,"Documented evidence of initial user training for security, compliance and/or resilience topics.","SAT-01
SAT-02
SAT-02.2
SAT-04
HRS-05.7",
121,E-SAT-03,Education,Practical Exercises,"Documented evidence of practical user training exercises for security, compliance and/or resilience topics (e.g., phishing exercise).","SAT-02.1
SAT-03.1
SAT-04",
122,E-SAT-04,Education,Recurring User Training,"Documented evidence of recurring (e.g., annual) user training for security, compliance and/or resilience topics.","SAT-01
SAT-03.4
SAT-03.6
SAT-03.7
SAT-04
HRS-05.7
THR-05",
123,E-SAT-05,Education,Role-Based Training,"Documented evidence of specialized user training for privileged users, executives, individuals who handle sensitive/regulated data, etc.","DCH-14
SAT-01
SAT-03
SAT-03.4
SAT-03.5
SAT-04
THR-05",
124,E-SAT-06,Education,Training Materials,"Documented evidence of security awareness training materials (e.g., curriculum, course work, presentations, etc.)",SAT-04,"AC.L1-3.1.22
AT.L2-3.2.1
AT.L2-3.2.2
AT.L2-3.2.3
IR.L2-3.6.1"
125,E-SAT-07,Education,Training Records,Documented evidence of security awareness training records,SAT-04,"AC.L1-3.1.22
AT.L2-3.2.1
AT.L2-3.2.2
CM.L2-3.4.9
IR.L2-3.6.1
SI.L2-3.14.6
SI.L2-3.14.7"
126,E-MON-01,Event Log Monitoring,Event Log Review & Analysis,"Documented evidence of a capability to perform security event log review and analysis (e.g., system monitoring records, continuous monitoring strategy, etc.).","MON-01
MON-01.1
MON-01.2
MON-01.3
MON-01.4
MON-01.8
MON-02
MON-02.2","AC.L1-3.1.1
CM.L2-3.4.9
SC.L2-3.13.13
SC.L2-3.13.14
SI.L2-3.14.6
SI.L2-3.14.7"
127,E-MON-02,Event Log Monitoring,Malware Activity,Documented evidence of malware activity being logged and included as part of the centralized event log collection and review/analysis process.,"MON-01.8
MON-02.2
END-04.3",
128,E-MON-03,Event Log Monitoring,Privileged User Oversight,Documented evidence of privileged user activity being logged and included as part of the centralized event log collection and review/analysis process.,"MON-01.14
MON-01.15",
129,E-MON-04,Event Log Monitoring,Rogue Devices,Documented evidence of rogue device identification is included as part of the centralized event log collection and review/analysis process.,AST-02.6,
130,E-MON-05,Event Log Monitoring,Centralized Event Log Collection,Documented evidence of security-relevant activities being logged and included as part of the centralized event log collection and review/analysis process.,"MON-01.2
MON-01.8
MON-02
MON-02.2
MON-02.1",AU.L2-3.3.8
131,E-MON-06,Event Log Monitoring,Automated Event Escalation & Reporting,"Documented evidence of a capability for selected events to alert applicable personnel, or roles, based on the type of event. This can be demonstrated by the configuration of a Security Incident Event Manager (SIEM), or similar technology, that helps automate event log analysis and reporting.","MON-01
MON-01.1
MON-01.3
MON-01.4
MON-01.12","AU.L2-3.3.2
AU.L2-3.3.8"
132,E-MON-07,Event Log Monitoring,Situational Awareness,"Documented evidence of the organization leveraging knowledge of event log generation to gain situational awareness of cross-domain activities (e.g., technology issues, security events, policy violations, service provider activities, remote workforce activities, physical security events, etc.).","MON-01
MON-01.1
MON-01.3
MON-01.4
MON-02.1
MON-11.3
MON-16
MON-16.1
MON-16.2
MON-16.3",AU.L2-3.3.2
133,E-MON-08,Event Log Monitoring,Integrity Monitoring,"Documented evidence of integrity monitoring, where files and/or configurations on critical Technology Assets, Applications and/or Services (TAAS) are actively monitored for changes that could indicate unauthorized changes.",MON-01.7,
134,E-MON-09,Event Log Monitoring,Event Logs,"Documented evidence of event logs being generated by Technology Assets, Applications and/or Services (TAAS).","MON-03.2
MON-03.3","AC.L1-3.1.1
AC.L1-3.1.2
AC.L1-3.1.22
AC.L2-3.1.11
AC.L2-3.1.12
AC.L2-3.1.13
AC.L2-3.1.14
AC.L2-3.1.15
AC.L2-3.1.16
AC.L2-3.1.17
AC.L2-3.1.18
AC.L2-3.1.19
AC.L2-3.1.3
AC.L2-3.1.4
AC.L2-3.1.6
AC.L2-3.1.7
AC.L2-3.1.8
AC.L2-3.1.9
AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AU.L2-3.3.7
AU.L2-3.3.8
AU.L2-3.3.9
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.8
CM.L2-3.4.9
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.4
IA.L2-3.5.5
MP.L2-3.8.1
MP.L1-3.8.3
MP.L2-3.8.6
MP.L2-3.8.7
MP.L2-3.8.8
SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.10
SC.L2-3.13.12
SC.L2-3.13.13
SC.L2-3.13.13
SC.L2-3.13.14
SC.L2-3.13.15
SC.L2-3.13.3
SC.L2-3.13.9
SI.L1-3.14.4
SI.L1-3.14.5
SI.L2-3.14.6"
135,E-MON-10,Event Log Monitoring,Event Logging Processing Failure Notifications,Documented evidence of the list of personnel to be notified in the event of an event log processing failure.,MON-05,AU.L2-3.3.4
136,E-MON-11,Event Log Monitoring,System Authenticator Types,Documented evidence of the list of authorized system authenticator types.,IAC-01,"IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.5"
137,E-HRS-01,Human Resources,Position Categorization,"Documented evidence of a discrete roles for cybersecurity & data privacy functions (e.g., position categorization). ","GOV-04
HRS-01
HRS-02
HRS-03
HRS-03.1",
138,E-HRS-02,Human Resources,Assigned Roles - Application Developers,List of employed or contract personnel assigned to application development roles.,"HRS-02
HRS-02.1
HRS-03
OPS-01",
139,E-HRS-03,Human Resources,Assigned Roles - Cybersecurity Staff,List of employed or contract personnel assigned to cybersecurity roles.,"HRS-02
HRS-02.1
HRS-03
OPS-01",
140,E-HRS-04,Human Resources,Assigned Roles - Data Privacy Staff,List of employed or contract personnel assigned to data privacy roles.,"HRS-02
HRS-02.1
HRS-03
OPS-01",
141,E-HRS-05,Human Resources,Role Assignment - CISO,Documented evidence of a formal role assignment to the Chief Information Security Officer (CISO) position.,GOV-04,
142,E-HRS-06,Human Resources,Role Assignment - COO,Documented evidence of a formal role assignment to the Chief Operations Officer (COO) position.,GOV-04,
143,E-HRS-07,Human Resources,Role Assignment - CIO,Documented evidence of a formal role assignment to the Chief Information Officer (CIO) position.,GOV-04,
144,E-HRS-08,Human Resources,Role Assignment - CPO,Documented evidence of a formal role assignment to the Chief Privacy Officer (CPO) position.,"GOV-04
PRI-01.1",
145,E-HRS-09,Human Resources,Role Assignment - CRO,Documented evidence of a formal role assignment to the Chief Risk Officer (CRO) position.,GOV-04,
146,E-HRS-10,Human Resources,Role Assignment - DPO,Documented evidence of a formal role assignment to Data Protection Officer (DPO) positions.,"GOV-04
PRI-01.4",
147,E-HRS-11,Human Resources,Role Assignment - Sensitive / Regulated Data,Documented evidence of a formal role assignment to personnel who are cleared to handle sensitive/regulated data.,"HRS-02
HRS-02.1
HRS-03",
148,E-HRS-12,Human Resources,Role Review,Documented evidence of a formal review process to ensure personnel roles currently reflect business needs.,"IAC-07
IAC-07.1
IAC-08
IAC-17",
149,E-HRS-13,Human Resources,Defined Cybersecurity & Data Privacy Responsibilities,Documented evidence of a role-based cybersecurity & data privacy responsibilities to ensure personnel are both educated on the role and are responsible for the associated control execution.,"CHG-04
GOV-04
HRS-03
HRS-03.1
OPS-01",
150,E-HRS-14,Human Resources,Responsibilities Review,Documented evidence of a formal review process to ensure assigned responsibilities currently reflect business needs for the assigned role.,IAC-17,
151,E-HRS-15,Human Resources,Organization Chart,Current and accurate organization chart that depicts logical staff hierarchies.,"GOV-04
GOV-04.1
GOV-04.2
HRS-01
OPS-01",
152,E-HRS-16,Human Resources,Access Agreements ,Documented evidence of personnel management practices protecting sensitive/regulated data through formal access agreements.,"HRS-03.1
HRS-05
HRS-06
HRS-10",
153,E-HRS-17,Human Resources,Background Checks,"Documented evidence of personnel screening practices, which centers around some form of formalized background check process.","HRS-04
HRS-04.1",PS.L2-3.9.1
154,E-HRS-18,Human Resources,Provisioning Checklist (Onboarding),Documented evidence of personnel management practices to formally onboard personnel into their assigned roles.,"HRS-03
HRS-03.1
HRS-04.2
HRS-05.7
HRS-10
IAC-07
IAC-28",
155,E-HRS-19,Human Resources,Deprovisioning Checklist (Offboarding),Documented evidence of personnel management practices to formally offboard personnel from their assigned roles due to employment termination or role change.,"HRS-06.2
HRS-09
HRS-09.1
HRS-09.2
HRS-09.3
IAC-07
IAC-07.1
IAC-07.2",
156,E-HRS-20,Human Resources,Non-Disclosure Agreements (NDAs),Documented evidence of the use of Non-Disclosure Agreements (NDAs) that restricts unauthorized sharing of sensitive/regulated data.,HRS-06.1,
157,E-HRS-21,Human Resources,Position Competency Requirements,Documented evidence of personnel management practices to define minimum competency requirements for cybersecurity & data privacy-related roles.,"HRS-03.2
HRS-04
HRS-04.1",
158,E-HRS-22,Human Resources,Rules of Behavior,"Documented evidence of personnel management practices to define ""acceptable use"" or ""rules of behavior"" criteria that specify acceptable and unacceptable user behaviors. ","HRS-02
HRS-02.1
HRS-03
HRS-05
HRS-05.1
HRS-05.2
HRS-05.3
HRS-05.4
HRS-05.5
HRS-10","MP.L2-3.8.7
MP.L2-3.8.8"
159,E-HRS-23,Human Resources,Critical Cybersecurity & Data Privacy Skills,Documented evidence of personnel management practices to formally identify critical cybersecurity skills needed to support business operations.,"HRS-03.2
HRS-13",
160,E-HRS-24,Human Resources,Critical Cybersecurity & Data Privacy Skill Gaps,Documented evidence of personnel management practices to formally identify critical cybersecurity & data privacy skill gaps.,"HRS-13
HRS-13.1",
161,E-HRS-25,Human Resources,Separation of Duties (SoD),Documented evidence of personnel management practices to implement and maintain Separation of Duties (SoD) to prevent potential inappropriate activity without collusion.,"HRS-11
HRS-12",AC.L2-3.1.4
162,E-HRS-26,Human Resources,Vital Cybersecurity & Data Privacy Staff,Documented evidence of personnel management practices to formally identify vital cybersecurity & data privacy personnel.,HRS-13.2,
163,E-HRS-27,Human Resources,Personnel Sanctions,Documented evidence of personnel management practices to formally sanction unacceptable behavior(s).,"HRS-01
HRS-07
OPS-01",PS.L2-3.9.2
164,E-HRS-28,Human Resources,Authorized Personnel Access List,Documented evidence of an authorized personnel access list.,"HRS-03
PES-02","IA.L2-3.5.6
PS.L2-3.9.2"
165,E-HRS-29,Human Resources,Personnel Actions Documentation,"Documented evidence of notifications or records of recently transferred, separated, or terminated employees.","HRS-07
HRS-08
HRS-09","AC.L1-3.1.1
AC.L2-3.1.5
PS.L2-3.9.1
PS.L2-3.9.2"
166,E-IAM-01,Identity & Access Management,Access Permission Review,Documented evidence of periodic access permission reviews.,IAC-17,"AC.L1-3.1.1
AC.L2-3.1.5"
167,E-IAM-02,Identity & Access Management,Defined Roles & Authorizations (RBAC),"Documented evidence of defined access control-specific roles (e.g., Role Based Access Control (RBAC)) that affect both logical and physical access authorizations.","CFG-05
CHG-04
DCH-03
END-03
IAC-08
IAC-21","AC.L1-3.1.20
AC.L2-3.1.21"
168,E-IAM-03,Identity & Access Management,Privileged User Inventory,"Documented evidence of an inventory of privileged users across Technology Assets, Applications and/or Services (TAAS) (internal and external).","IAC-16
IAC-16.1","AC.L2-3.1.5
AU.L2-3.3.9
IA.L2-3.5.4"
169,E-IAM-04,Identity & Access Management,User & Service Inventory,Documented evidence of an inventory of authorized users and services.,IAC-01.3,"AC.L2-3.1.5
AC.L2-3.1.6
IA.L2-3.5.6
PS.L2-3.9.2"
170,E-IAM-05,Identity & Access Management,Identity & Access Management (IAM) Function,"Documented evidence of an Identity & Access Management (IAM), or similar function, that facilitates the implementation of identification and access management controls.","IAC-01
IAC-02
IAC-02.2
IAC-03
IAC-03.5
IAC-04
IAC-05
IAC-21
IAC-28","AC.L1-3.1.20
AC.L2-3.1.21"
171,E-IAM-06,Identity & Access Management,"Authenticate, Authorize and Audit (AAA) Solution","Documented evidence of an Authenticate, Authorize and Audit (AAA) solution (on-premises and hosted by External Service Providers (ESP)).","IAC-01.2
IAC-02
IAC-02.2
IAC-03
IAC-03.5
IAC-04
IAC-05
IAC-21
IAC-28",
172,E-IAM-07,Identity & Access Management,Account Management Compliance Reviews,Documented evidence of account management compliance reviews.,"IAC-15
IAC-15.7",
173,E-IAM-08,Identity & Access Management,Conditions for Group / Role Membership,Documented evidence of conditions for group and role membership.,"IAC-15
IAC-15.5","AC.L1-3.1.1
AC.L2-3.1.5"
174,E-IAM-09,Identity & Access Management,Access Authorization Records,Documented evidence of access authorization records.,"IAC-21.3
IAC-28.1","AC.L1-3.1.1
AC.L1-3.1.5
AC.L1-3.1.2
SC.L2-3.13.13"
175,E-IAM-10,Identity & Access Management,Active Accounts,Documented evidence of active system accounts and the name of the individual associated with each account.,IAC-01.3,"AC.L1-3.1.1
AC.L2-3.1.5
IA.L2-3.5.4
IA.L2-3.5.6
PS.L2-3.9.2"
176,E-IAM-11,Identity & Access Management,Recently Disabled Accounts,Documented evidence of list of recently disabled system accounts along with the name of the individual associated with each account.,IAC-01.3,"AC.L1-3.1.1
AC.L2-3.1.5"
177,E-IAM-12,Identity & Access Management,Account Management Documentation,Documented evidence of list of account management practices.,IAC-01,
178,E-IAM-13,Asset Management,Authenticator Types,Documented evidence of system authenticator types.,IAC-02,
179,E-IAM-14,Asset Management,Remote Access Authorizations,Documented evidence of authorization for users to connect via remote access methods.,"NET-14
NET-14.5
NET-14.6",AC.L2-3.1.12
180,E-IRO-01,Incident Response,Incident Response Plan (IRP),"Documented evidence of a Incident Response Plan (IRP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","IRO-01
IRO-02.4
IRO-02.5
IRO-04
IRO-06.1
IRO-07
IRO-08
IRO-10
IRO-10.2","IR.L2-3.6.1
IR.L2-3.6.2"
181,E-IRO-02,Incident Response,Indicators of Compromise (IOC),Documented evidence of defined Indicators of Compromise (IOC).,"MON-11.3
MON-16
MON-16.1
MON-16.2
MON-16.3
IRO-03",
182,E-IRO-03,Incident Response,Incident Tracking,Documented evidence of a centralized repository to track cybersecurity & data privacy incidents.,"IRO-02
IRO-09",
183,E-IRO-04,Incident Response,IRP Testing,Documented evidence of an Incident Response Plan (IRP)-related testing activity.,IRO-06,
184,E-IRO-05,Incident Response,Table Top Exercises,"Documented evidence of ""table top"" exercises that test incident response practices.",IRO-05,
185,E-IRO-06,Incident Response,IRP Training,Documented evidence of an Incident Response Plan (IRP)-related training activity.,IRO-05,
186,E-IRO-07,Incident Response,IRP Updates,Documented evidence of a periodic review process for the organization's Incident Response Plan (IRP) to identify necessary updates.,IRO-04.2,
187,E-IRO-08,Incident Response,Root Cause Analysis (RCA),"Documented evidence of a Root Cause Analysis (RCA) from any Incident Response Plan (IRP)-related training, testing or significant incident.",IRO-13,
188,E-IRO-09,Incident Response,Formally Assigned Incident Response Roles & Responsibilities,"Documented evidence of the establishment of a formally-assigned, integrated team of cybersecurity, IT and business function representatives that are capable of addressing cybersecurity & data privacy incident response operations.","IRO-07
IRO-16",
189,E-IRO-10,Incident Response,Chain of Custody,"Documented evidence of an in-house, or externally contracted, capability to perform digital forensics and maintain the integrity of the chain of custody, in accordance with applicable laws, regulations and industry-recognized secure practices.",IRO-08,
190,E-IRO-11,Incident Response,Incident Reporting Capability,"Documented evidence of a capability to provide situational awareness of incidents to internal stakeholders and generated necessary reporting to affected clients, applicable third-parties and regulatory authorities.","IRO-10
IRO-10.2",
191,E-IRO-12,Incident Response,Sensitive / Regulated Data Spills,Documented evidence of records of response to sensitive / regulated data spills.,IRO-12,
192,E-IRO-13,Incident Response,Incident Response Records,Documented evidence of records of response to cybersecurity and/or data protection incidents.,IRO-09,"AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AC.L1-3.1.22
IR.L2-3.6.2"
193,E-IAO-01,Information Assurance,Information Assurance Program (IAP),"Documented evidence of a Information Assurance Program (IAP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","IAO-01
IAO-02.4",
194,E-IAO-02,Information Assurance,"Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV)","Documented evidence of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable AI-related testing, identification of incidents and information sharing.",AAT-10,
195,E-IAO-03,Information Assurance,Pre-Production Controls Testing,"Documented evidence of pre-production cybersecurity & data protection controls testing to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","IAO-02
IAO-02.4
IAO-03.2",
196,E-IAO-04,Information Assurance,Security Assessment Plan,Documented evidence of a plan to conduct security assessments.,IAO-02,CA.L2-3.12.1
197,E-IAO-05,Information Assurance,Security Assessment Report,Documented evidence of a report on security assessments.,IAO-02.4,RA.L2-3.11.2
198,E-MNT-01,Maintenance,Maintenance - Authorized Maintenance Personnel,Documented evidence of personnel who have designated maintenance roles.,MNT-06.1,
199,E-MNT-02,Maintenance,Maintenance Plan,"Documented evidence of a Maintenance Plan. This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.",MNT-01,"MA.L2-3.7.2
MA.L2-3.7.4"
200,E-MNT-03,Maintenance,Patch Management,"Documented evidence of maintenance activities for Technology Assets, Applications and/or Services (TAAS) (e.g., patch management).","VPM-01
VPM-04
VPM-05",
201,E-MNT-04,Maintenance,Maintenance Activities,"Documented evidence of maintenance activities for the organization's Technology Assets, Applications and/or Services (TAAS).","MNT-01
MNT-02
MNT-03
MNT-03.1",
202,E-MNT-05,Maintenance,Maintenance Tool Inspection Records,Documented evidence of maintenance tool inspection records.,MNT-04.2,MA.L2-3.7.2
203,E-NET-01,Network Security,Content / DNS Filtering,Documented evidence of the methods that content / DNS filtering is implemented to prevent Internet traffic from prohibited content and/or hostile web sites.,"NET-18
NET-18.1",
204,E-NET-02,Network Security,Wireless Rogue Detection,Documented evidence of automated or manual means to detect rogue wireless devices.,NET-15.5,
205,E-NET-03,Network Security,Work From Anywhere (WFA) Guidance (remote workers),"Documented evidence of administrative and technical measures that are enforced at ""alternate work sites"" which includes working from home or working while traveling on business.","NET-14
NET-14.5",
206,E-NET-04,Network Security,Network Security Controls (NSC),"Documented evidence of the organization's network security controls (e.g., boundary protections, content filtering, wireless infrastructure, etc.).",NET-01,"SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.14"
207,E-NET-05,Network Security,Zero Trust Architecture (ZTA),Documented evidence of controls that would enable the organization to claim conformity with Zero Trust (ZT) principles.,NET-01.1,
