#,Principle Name,SCF Data Privacy Management Principle (SCF-DPMP) Description,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","AICPA
TSC 2017:2022 (used for SOC 2)","APEC
Privacy Framework
2015",GAPP,"ISO
27701 
2025","ISO
29100
2024","NIST Privacy Framework
1.0","NIST
800-53
R5","NIST
800-53B R5
(privacy)","NIST
CSF
2.0","OECD
Privacy Principles","US
Data Privacy Framework (DPF)","US
FIPPS","US
HIPAA Administrative Simplification
2013","US - AK
PIPA","US - CA
CCPA
2025","US - CO
Colorado Privacy Act","US - IL
BIPA","US - IL
IPA","US - IL
PIPA","US - NV
SB220","US - OR
CPA","US - TN
Tennessee Information Protection Act ","US - TX
BC521","US - VA
CDPA
2025","US - VT
Act 171 of 2018","EMEA
EU
GDPR","EMEA
Saudi Arabia
Personal Data Protection Law (PDPL)","APAC
Australia
Privacy Act","APAC
Australian Privacy Principles","APAC
India
DPDPA 2023","APAC
New Zealand Privacy Act of 2020","Americas
Canada
PIPEDA"
,,,Revoke Consent,PRI-03.4,"Mechanisms exist to allow data subjects to revoke consent to collect, receive, process, store, transmit, share and/or update their Personal Data (PD).",,,,,,,PT-4(3),,,,,,,,,"6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)",,,,,5(1)(d),,,,,7.3,5.2,,,"5(2)(b)
6(4)
6(7)
8(7)(a)
8(8)(b)",,
2.4,Equal Service & Price,"Implement business processes to protect the right of data subjects to equal service and price, even if they exercise their data privacy rights.","Statutory, Regulatory & Contractual Compliance ",CPL-01,"Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.","CC1.5
CC2.2
CC2.3
CC2.3-POF5
CC3.1-POF14
CC3.1-POF5
CC3.1-POF8
CC3.1-POF9",,,"4.1
4.2(a)
4.2(b)
4.2(c)",6.12,"GV.PO-P5
GV.MT-P3","PL-1
PM-8",PL-1,"GV.OC
GV.OC-03
GV.SC-05
PR",,"II.7.c
III.5.a
III.5.b.i",,"164.306(c)
164.306(d)(1)
164.306(d)(2)
164.314(a)(1)
164.314(a)(2)(ii)
164.504(g)(1)",,"7013(h)
7022(d)
7023(e)
7050(b)
7072(b)
7123(b)(3)
7200(a)
7200(b)","6-1-1305(1)
6-1-1305(6)
6-1-1307(2)
6-1-1307(3)
6-1-1308(6)",,,"45(a)
45(b)
45(c)
45(d)
50",,7(1)(b),,,59.1-581.E,,,"2.1
30.3",APP Part 11,,"7(c)
7(d)
7(e)
8(1)
8(4)",,Principle 7
,,,Product or Service Delivery Restrictions,PRI-03.5,"Mechanisms exist to prevent discrimination against a data subject for exercising their legal rights pertaining to modifying or revoking consent, including prohibiting:
(1) Refusing products and/or services;
(2) Charging different rates for goods and/or services; and
(3) Providing different levels of quality.",,,,,,,,,,,,,"164.508(c)(2)(ii)(A)
164.508(c)(2)(ii)(B)
164.514(f)(2)(iii)",,"7080(a)
7080(b)
7221(l)",6-1-1308(1)(d),,10(b)(2),,,5(2)(d),,,"59.1-577.1.E
59.1-578.A.4",,,7,,,,,
2.5,Prohibit The Sale of Personal Data,"Provide a clear and conspicuous link on the organization's Internet-based homepage, titled “Do Not Sell My Personal Data” that enables a consumer, or a person authorized by the consumer, to opt-out of the sale of the consumer’s personal data.",Tailored Consent,PRI-03.1,"Mechanisms exist to allow data subjects to modify permission to collect, receive, process, store, transmit, share, update and/or dispose selected attributes of their Personal Data (PD).",P3.2-POF1,,,,,CT.PO-P3,PT-4(1),,,,,,,,,"6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",,,,,,"47-18-3203(a)(2)(E)(i)
47-18-3203(a)(2)(E)(ii)
47-18-3203(a)(2)(E)(iii)
47-18-3203(b)",,,,,,,,,,
,,,"Prohibition of Selling, Processing and/or Sharing Personal Data (PD)",PRI-03.3,"Mechanisms exist to prevent the sale, processing and/or sharing of Personal Data (PD) when:
(1) Instructed by the data subject; or
(2) The data subject is a minor, where selling and/or sharing PD is legally prohibited.",,,,,,"CT.PO-P1
CT.PO-P3",,,,,,,164.502(a)(5)(ii)(A),,,"6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",15(c),,,2.3,,"47-18-3203(a)(2)(E)(i)
47-18-3203(a)(2)(E)(ii)
47-18-3203(a)(2)(E)(iii)
47-18-3204(d)",,"59.1-577.1.C
59.1-578.F.1
59.1-578.F.1.a",,,,,APP 7,,,
2.6,Authorized Agent (Proxy),"Allow data subjects to authorize another person or entity, acting on the data subject's behalf, to make Personal Data (PD) processing decisions.",Authorized Agent,PRI-03.6,"Mechanisms exist to allow data subjects to authorize another person or entity, acting on the data subject's behalf, to make Personal Data (PD) processing decisions.",,,,,,,,,,,II.2.b,,"164.502(g)(1)
164.502(g)(2)
164.502(g)(3)(i)
164.502(g)(3)(i)(A)",,"7026(j)
7027(j)
7063(a)
7063(a)(1)
7063(a)(2)
7063(b)
7063(c)
7063(d)
7221(j)",6-1-1306(1)(a)(II),15(b)(3),,,,4(4),47-18-3203(a)(1),,"59.1-577.1.D
59.1-577.A
59.1-578.A.5
59.1-578.F.3",,"8.1
8.2",,,,"14(1)
6(7)
9(1)",,
2.7,Global Privacy Control (GPC),"Enable automated mechanisms to provide data subjects with functionality to automatically exercise pre-selected opt-out preferences (e.g., opt-out signal).",Global Privacy Control (GPC),PRI-03.8,"Automated mechanisms exist to provide data subjects with functionality to exercise pre-selected opt-out preferences (e.g., opt-out signal).",,,,,,,,,,,,,,,"7025(a)
7025(b)
7025(b)(1)
7025(b)(2)
7025(c)
7025(c)(1)
7025(c)(2)
7025(c)(3)
7025(c)(5)
7025(c)(6)
7025(d)
7025(e)
7025(f)
7025(f)(1)
7025(f)(2)
7025(f)(3)
7025(g)
7025(g)(1)
7025(g)(3)",,,,,,"5(5)(c)
5(5)(c)(A)
5(5)(c)(B)
5(5)(c)(C)
5(5)(c)(D)
5(5)(c)(E)",,,,,,,,,,,
3,Limited Collection & Use,Ensure that the design of data collection and use are consistent with the intended use of the information and the need for new information is balanced against any data privacy risks.,Restrict Collection To Identified Purpose,PRI-04,"Mechanisms exist to minimize the collection of Personal Data (PD) to only what is adequate, relevant and limited to the purposes identified in the data privacy notice, including protections against collecting PD from minors without appropriate parental or legal guardian consent.","CC8.1-POF18
P3.0
P3.1
P3.1-POF1
P3.1-POF2
P3.1-POF3
P3.1-POF4",3,"4.1.2
9.2.2",,"6.4
6.5",,PT-2,PT-2,,,II.5.a,4,,45.48.410,7002(f),6-1-1305(2),15(b),"10(b)(1)
10(b)(3)",,,"5(1)(b)
5(2)(b)","47-18-3204(a)(1)
47-18-3204(a)(2)",,"59.1-578.A.1
59.1-578.F.1
59.1-578.F.1.c
59.1-578.F.2","2433(a)(1)
2433(a)(2)","5.1(b)
5.1(c)
8.1",,APP Part 3,APP 3,,"Principle 1
P1-(1)(a)
P1-(1)(b)
Principle 3
P3-(1)
P3-(1)(a)
P3-(1)(b)
P3-(1)(c)
P3-(1)(d)
P3-(1)(d)(i)
P3-(1)(d)(ii)
P3-(1)(e)
P3-(1)(e)(i)
P3-(1)(e)(ii)
P3-(1)(f)
P3-(1)(g)
P3-(2)
P3-(3)
P3-(4)
P3-(4)(a)
P3-(4)(b)
P3-(4)(b)(i)
P3-(4)(b)(ii)
P3-(4)(b)(iii)
P3-(4)(b)(iv)
P3-(4)(c)
P3-(4)(d)
P3-(4)(e)
P3-(4)(e)(i)
P3-(4)(e)(ii)
Principle 4
P4-(a)
P4-(b)
P4-(b)(i)
P4-(b)(ii)","Sec 5
Principle 4"
3.1,Authority to Collect,"Identify the lawful basis given to collect, create, use, disseminate, maintain, and/or disclose an individual’s personal data. Document this authority in the organization's publicly-facing data privacy notice.","Authority To Collect, Process, Store & Share Personal Data (PD)",PRI-04.1,"Mechanisms exist to determine and document the legal authority that permits the organization to collect, receive, process, store, transmit, share, update and/or dispose Personal Data (PD), either generally or in support of a specific business process.","CC8.1-POF18
P3.1
P6.7-POF1",4(c),"1.2.5
1.2.11
4.2.2",,6.3,CT.DP-P4,PT-2,PT-2,,"1
4(b)",,3,"164.502(a)(1)(i)
164.502(a)(1)(ii)
164.502(a)(1)(iii)
164.502(a)(5)(i)
164.502(i)",,,6-1-1308(4),15(b),"10(b)(1)
10(b)(3)",,,5(2)(b),"47-18-3204(a)(5)
47-18-3204(b)",,"59.1-578.F.1.b
59.1-578.F.1.c","2433(a)(2)(A)
2433(a)(2)(B)
2433(a)(2)(C)","10
9.2(b)
9.2(c)
9.2(d)
9.2(e)
9.2(f)
9.2(g)
9.2(h)
9.2(i)
9.2(j)
9.3",13.1,APP Part 3,"APP 3
APP 7",4(1)(b),,"Sec 5
Principle 4"
3.2,Data Minimization,"Take steps to minimize the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of the individual’s personal data to what is directly relevant and necessary to accomplish a legally authorized purpose.","Limit Sensitive / Regulated Data In Testing, Training & Research",DCH-18.2,"Mechanisms exist to minimize the use of sensitive/regulated data for research, testing, or training, in accordance with authorized, legitimate business practices.",,,,,,,"PM-25
SI-12(2)
SA-8(33)
SA-15(12)","PM-25
SI-12(2)
SA-8(33)",,,,,,,,6-1-1308(3),,,,,,,,,,,,,,,,
3.3,Internal Use,Restrict the internal use of personal data to only authorized purpose(s) that are consistent with the stated data privacy notice. ,Minimize Sensitive / Regulated Data,DCH-18.1,"Mechanisms exist to minimize sensitive/regulated data that is collected, received, processed, stored and/or transmitted throughout the information lifecycle to only those elements necessary to support necessary business processes.",,,,,6.5,,SI-12(1),SI-12(1),,,,,164.502(b)(1),,,,,,,2.3,,,,,,,11.3,,,,,
,,,"Internal Use of Personal Data (PD) For Testing, Training and Research",PRI-05.1,"Mechanisms exist to address the use of Personal Data (PD) for internal testing, training and research that:
(1) Takes measures to limit or minimize the amount of PD used for internal testing, training and research purposes; and
(2) Authorizes the use of PD when such information is required for internal testing, training and research.","CC6.1-POF13
P4.1",,"7.2.2
9.2.1
9.2.2",,,"CT.PO-P1
CT.PO-P2","PM-25
PT-2
PT-3
SI-12(1)
SI-12(2)","PM-25
PT-2
SI-12(1)
SI-12(2)",,,,,164.508(a)(2)(i)(B),,,6-1-1308(4),,,,2.3,7(1)(c),"47-18-3204(a)(2)
47-18-3207(a)(1)
47-18-3207(a)(2)
47-18-3207(a)(3)
47-18-3207(b)(1)
47-18-3207(b)(2)
47-18-3207(b)(3)
47-18-3207(b)(3)(A)
47-18-3207(b)(3)(B)
47-18-3207(b)(3)(C)",,,,,,APP Part 3,APP 6,,"Principle 10
P10-(1)
P10-(1)(a)
P10-(1)(b)(i)
P10-(1)(b)(ii)
P10-(1)(c)
P10-(1)(d)
P10-(1)(e)(i)
P10-(1)(e)(ii)
P10-(1)(e)(iii)
P10-(1)(e)(iv)
P10-(1)(f)(i)
P10-(1)(f)(ii)
P10-(2)",
,,,Usage Restrictions of Personal Data (PD),PRI-05.4,"Mechanisms exist to restrict collecting, receiving, processing, storing, transmitting, sharing and/or updating Personal Data (PD) to:
(1) The purpose(s) originally collected, consistent with the data privacy notice(s);
(2) What is authorized by the data subject, or authorized agent; and
(3) What is consistent with applicable laws, regulations and contractual obligations.","P4.0
P4.1
P4.1-POF1",,"5.2.1
9.2.2",,6.6,"CT.DM-P8
CT.DP-P4
CT.PO-P1
CT.PO-P2","AC-23
PM-25
PT-2
PT-7","PM-25
PT-2
PT-7",,4,II.2.c,4,"164.502(c)
164.502(d)(1)
164.504(g)(2)
164.506(a)
164.506(c)(1)
164.506(c)(5)
164.508(a)(1)
164.508(a)(2)(i)(C)
164.510(a)(1)(i)(A)
164.510(a)(1)(i)(B)
164.510(a)(1)(i)(C)
164.510(a)(1)(i)(D)
164.510(a)(1)(ii)(A)
164.510(a)(1)(ii)(B)
164.510(b)(4)
164.512
164.512(i)(1)
164.512(j)(1)
164.512(j)(1)(i)(A)
164.512(j)(1)(i)(B)
164.512(j)(1)(ii)
164.512(j)(1)(ii)(A)
164.512(j)(1)(ii)(B)
164.512(j)(2)(i)
164.512(j)(2)(ii)
164.512(j)(3)
164.512(j)(4)
164.512(k)(1)(i)
164.512(k)(1)(i)(A)
164.512(k)(1)(i)(B)
164.512(k)(1)(ii)
164.512(k)(1)(iii)
164.512(k)(1)(iv)
164.512(k)(2)
164.512(k)(3)
164.512(k)(4)
164.512(k)(4)(i)
164.512(k)(4)(ii)
164.512(k)(4)(iii)
164.512(k)(5)(i)
164.512(k)(5)(i)(A)
164.512(k)(5)(i)(B)
164.512(k)(5)(i)(C)
164.512(k)(5)(i)(D)
164.512(k)(5)(i)(E)
164.512(k)(5)(i)(F)
164.512(k)(5)(ii)
164.512(k)(5)(iii)
164.512(k)(6)(i)
164.512(k)(6)(ii)
164.512(k)(6)(ii)(1)
164.514(f)(2)(i)
164.514(g)",,"7023(d)(3)
7026(f)
7026(f)(1)
7027(a)","6-1-1305(2)
6-1-1308(4)
6-1-1308(7)",15(b)(2),,,2.3,"4(7)(b)
5(2)(a)","47-18-3203(a)(2)(C)(i)(b)
47-18-3203(a)(2)(C)(ii)
47-18-3204(a)(6)
47-18-3207(b)
47-18-3207(c)
47-18-3207(d)",,"59.1-577.1.C
59.1-578.A.2
59.1-578.F.1.c",,,11.3,APP Part 3,"APP 6
APP 7
APP 9","7(f)
7(g)
7(h)
7(i)
8(1)","Principle 10
P10-(1)
P10-(1)(a)
P10-(1)(b)(i)
P10-(1)(b)(ii)
P10-(1)(c)
P10-(1)(d)
P10-(1)(e)(i)
P10-(1)(e)(ii)
P10-(1)(e)(iii)
P10-(1)(e)(iv)
P10-(1)(f)(i)
P10-(1)(f)(ii)
P10-(2)",
4,Transparency,"Provide a transparent notice to the public about data privacy practices through a clear and conspicuous notice on all organizational websites, mobile applications and other digital services regarding the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of the personal data.",Privacy Act Statements,PRI-01.2,"Mechanisms exist to provide additional formal notice to individuals from whom the information is being collected that includes:
(1) Notice of the authority of organizations to collect Personal Data (PD); 
(2) Whether providing PD is mandatory or optional; 
(3) The principal purpose or purposes for which the PD is to be used; 
(4) The intended disclosures or routine uses of the information; and 
(5) The consequences of not providing all or some portion of the information requested.",P1.1,,10.2.3,,,"CM.PO-P1
CM.AW-P1",PT-5(2),PT-5(2),,,,,,,,,,,,,,,,,,,,,,,,
,,,Data Privacy Notice,PRI-02,"Mechanisms exist to:
(1) Make data privacy notice(s) available to individuals upon first interacting with an organization and subsequently as necessary; 
(2) Ensure that data privacy notices are clear and easy-to-understand, expressing relevant information about how Personal Data (PD) is collected, received, processed, stored, transmitted, shared, updated and/or disposed;
(3) Contain all necessary notice-related criteria required by applicable statutory, regulatory and contractual obligations.
(4) Define the scope of PD processing activities, including the geographic locations and third-party recipients that process the PD within the scope of the data privacy notice;
(5) Periodically, review and update the content of the privacy notice, as necessary; and
(6) Retain prior versions of the privacy notice, in accordance with data retention requirements.
","CC2.3-POF7
P1.1
P1.1-POF1
P1.1-POF2
P1.1-POF3
P1.1-POF4
P1.1-POF5
P1.1-POF7","2
2(a)
2(b)
2(c)
2(d)
2(e)","2.1.1
2.2.1
2.2.2
2.2.3
3.1.0
3.1.1
3.1.2
4.1.0
4.1.1
4.2.4
5.1.0
5.1.1
6.1.0
7.1.0
7.1.1
8.1.0
8.1.1
9.1.0
9.1.1
10.1.0
10.1.1
10.2.3",,6.3,"CM.PO-P1
CM.AW-P1","PM-20(1)
PT-5","PM-20(1)
PT-5",,,"II.1.a.i
II.1.a.ii
II.1.a.iii
II.1.a.iv
II.1.a.ix
II.1.a.v
II.1.a.vi
II.1.a.vii
II.1.a.viii
II.1.a.x
II.1.a.xi
II.1.a.xii
II.1.a.xiii
II.1.b
III.11.d.i
III.11.d.ii
III.14.b.ii","7
8","164.520(a)(1)
164.520(a)(2)(i)
164.520(a)(2)(i)(A)
164.520(a)(2)(i)(B)
164.520(a)(2)(ii)
164.520(a)(2)(ii)(A)
164.520(a)(2)(ii)(B)
164.520(a)(2)(iii)
164.520(b)(1)
164.520(b)(1)(i)
164.520(b)(1)(ii)
164.520(b)(1)(ii)(A)
164.520(b)(1)(ii)(B)
164.520(b)(1)(ii)(C)
164.520(b)(1)(ii)(D)
164.520(b)(1)(ii)(E)
164.520(b)(1)(iv)
164.520(b)(1)(iv)(A)
164.520(b)(1)(iv)(B)
164.520(b)(1)(iv)(C)
164.520(b)(1)(iv)(D)
164.520(b)(1)(iv)(E)
164.520(b)(1)(iv)(F)
164.520(b)(1)(v)
164.520(b)(1)(v)(A)
164.520(b)(1)(v)(B)
164.520(b)(1)(v)(C)
164.520(b)(1)(vi)
164.520(b)(1)(vii)
164.520(b)(1)(viii)
164.520(b)(2)(i)
164.520(b)(2)(ii)
164.520(b)(3)
164.520(c)
164.520(c)(1)(i)
164.520(c)(1)(i)(A)
164.520(c)(1)(i)(B)
164.520(c)(1)(ii)
164.520(c)(1)(iii)
164.520(c)(1)(iv)
164.520(c)(1)(v)
164.520(c)(1)(v)(A)
164.520(c)(1)(v)(B)",,"7002(b)(5)
7003(a)
7004(a)(1)
7010(a)
7011(a)
7011(b)
7011(c)
7011(d)
7011(e)
7011(e)(1)
7011(e)(1)(A)
7011(e)(1)(B)
7011(e)(1)(C)
7011(e)(1)(D)
7011(e)(1)(E)
7011(e)(1)(F)
7011(e)(1)(G)
7011(e)(1)(H)
7011(e)(1)(I)
7011(e)(1)(J)
7011(e)(2)
7011(e)(2)(A)
7011(e)(2)(B)
7011(e)(2)(C)
7011(e)(2)(D)
7011(e)(2)(E)
7011(e)(2)(F)
7011(e)(2)(G)
7011(e)(2)(H)
7011(e)(3)
7011(e)(3)(A)
7011(e)(3)(B)
7011(e)(3)(C)
7011(e)(3)(D)
7011(e)(3)(E)
7011(e)(3)(F)
7011(e)(3)(G)
7011(e)(3)(H)
7011(e)(3)(I)
7011(e)(3)(J)
7011(e)(4)
7011(e)(5)
7012(f)
7012(g)(1)
7013(c)
7013(e)
7013(e)(1)
7013(e)(2)
7013(e)(3)
7013(g)(2)
7014(b)
7014(c)
7014(d)
7014(e)(1)
7014(e)(2)
7014(e)(3)
7014(g)(1)
7014(g)(2)
7014(h)
7025(g)(2)
7025(g)(2)(A)
7025(g)(2)(B)
7025(g)(2)(C)
7025(g)(2)(D)
7072(a)","6-1-1305(2)
6-1-1308(1)(a)
6-1-1308(1)(a)(I)
6-1-1308(1)(a)(II)
6-1-1308(1)(a)(II)
6-1-1308(1)(a)(IV)
6-1-1308(1)(a)(V)
6-1-1308(1)(b)
6-1-105(1)(nnn)",15(a),,,,"5(1)(a)
5(4)(a)
5(4)(b)
5(4)(c)
5(4)(d)
5(4)(e)
5(4)(f)
5(4)(g)
5(4)(h)
5(4)(i)","47-18-3204(a)(1)
47-18-3204(c)
47-18-3204(c)(1)
47-18-3204(c)(2)
47-18-3204(c)(3)
47-18-3204(c)(4)
47-18-3204(c)(5)
47-18-3204(d)
47-18-3204(e)(1)",,"59.1-578.C
59.1-578.C.1
59.1-578.C.2
59.1-578.C.3
59.1-578.C.4
59.1-578.C.5
59.1-578.D
59.1-578.E
59.1-581.A.2",,"12.7
13.1(a)
13.1(b)
13.1(c)
13.1(d)
13.1(e)
13.2
13.2(a)
13.2(b)
13.2(c)
13.2(d)
13.2(e)
13.2(f)
13.3
14.1(a)
14.1(b)
14.1(c)
14.1(d)
14.1(e)
14.1(f)
14.2
14.2(a)
14.2(b)
14.2(c)
14.2(d)
14.2(e)
14.2(f)
14.2(g)
14.3(a)
14.3(b)
14.3(c)
14.4
14.5(a)","12
13.2
13.4
13.5
13.6
4.1",APP Part 5,"APP 1
APP 5","5(1)(i)
5(1)(ii)
5(1)(iii)
5(2)(a)(i)
5(2)(a)(ii)
5(2)(a)(iii)
6(10)
6(3)","Principle 3
P3-(1)
P3-(1)(a)
P3-(1)(b)
P3-(1)(c)
P3-(1)(d)
P3-(1)(d)(i)
P3-(1)(d)(ii)
P3-(1)(e)
P3-(1)(e)(i)
P3-(1)(e)(ii)
P3-(1)(f)
P3-(1)(g)
P3-(2)
P3-(3)
P3-(4)
P3-(4)(a)
P3-(4)(b)
P3-(4)(b)(i)
P3-(4)(b)(ii)
P3-(4)(b)(iii)
P3-(4)(b)(iv)
P3-(4)(c)
P3-(4)(d)
P3-(4)(e)
P3-(4)(e)(i)
P3-(4)(e)(ii)",Principle 2
,,,Notification of Disclosure Request To Data Subject,PRI-14.2,Mechanisms exist to notify data subjects of applicable legal requests to disclose Personal Data (PD).,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,
4.1,Data Privacy Notice & Purpose Specification,"Provide notice of the specific purpose(s) for which personal data is collected, created, used, disseminated, maintained, retained and/or disclosed. ",Purpose Specification,PRI-02.1,"Mechanisms exist to ensure data privacy notices identify the purpose(s) for which Personal Data (PD) is collected, received, processed, stored, transmitted and/or shared.","P1.1-POF1
P1.1-POF2
P1.1-POF3
P1.1-POF4
P6.7-POF1",,4.2.1,,6.3,CM.PO-P1,PT-3,PT-3,,3,"II.1.a.iv
II.5.a","3
7","164.502(a)(3)
164.508(c)(1)(i)
164.508(c)(1)(ii)
164.508(c)(1)(iii)
164.508(c)(1)(iv)
164.508(c)(2)(i)(A)
164.508(c)(2)(i)(B)",,"7002(a)(1)
7002(a)(2)
7002(b)(4)
7027(m)","6-1-1308(1)(a)
6-1-1308(1)(a)(I)
6-1-1308(1)(a)(II)
6-1-1308(1)(a)(II)
6-1-1308(1)(a)(IV)
6-1-1308(1)(a)(V)
6-1-1308(1)(b)
6-1-1308(2)
6-1-105(1)(nnn)","15(b)(1)
15(b)(2)",,,,"5(1)(a)
5(4)(b)
5(4)(h)",47-18-3204(c)(2),,59.1-578.C.2,,"13.1(c)
14.1(c)","11.1
13.2
13.3",APP Part 3,APP 1,"4(2)
5(1)(i)
5(2)(a)(i)
7(a)
8(8)(a)","Principle 3
P3-(1)
P3-(1)(a)
P3-(1)(b)
P3-(1)(c)
P3-(1)(d)
P3-(1)(d)(i)
P3-(1)(d)(ii)
P3-(1)(e)
P3-(1)(e)(i)
P3-(1)(e)(ii)
P3-(1)(f)
P3-(1)(g)
P3-(2)
P3-(3)
P3-(4)
P3-(4)(a)
P3-(4)(b)
P3-(4)(b)(i)
P3-(4)(b)(ii)
P3-(4)(b)(iii)
P3-(4)(b)(iv)
P3-(4)(c)
P3-(4)(d)
P3-(4)(e)
P3-(4)(e)(i)
P3-(4)(e)(ii)","Sec 5
Principle 2"
,,,Notification of Disclosure Request To Data Subject,PRI-14.2,Mechanisms exist to notify data subjects of applicable legal requests to disclose Personal Data (PD).,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,
5,Data Lifecycle Management,"Limit the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of personal data to that which is legally authorized, relevant and deemed ""reasonably necessary"" for the proper performance of business functions.",Data Protection ,DCH-01,Mechanisms exist to facilitate the implementation of data protection controls. ,"A1.2-POF7
C1.1
C1.1-POF2
CC2.1
CC6.5
CC6.7
CC6.7-POF2
CC8.1-POF16
CC8.1-POF17
PI1.4-POF1
PI1.4-POF2
PI1.4-POF3
PI1.4-POF4
PI1.5
PI1.5-POF1
PI1.5-POF2
PI1.5-POF3
PI1.5-POF4",,,7.5.3(b),,GV.PO-P1,MP-1,MP-1,"ID.AM-08
PR.DS
PR.DS-01
PR.DS-02
PR.DS-10",,,,"164.306(a)(3)
164.310(d)(1)
164.312(c)(1)
164.514(d)(3)(i)
164.530(c)(2)(i)",45.48.100,,"6-1-1305(4)
6-1-1307(2)
6-1-1307(3)
6-1-1308(5)",,,,,,,,,"2447(a)
2447(a)(1)
2447(a)(1)(A)
2447(a)(1)(B)
2447(a)(1)(C)
2447(a)(1)(D)
2447(a)(2)",,,"APP Part 8
APP Part 11",APP 11,,,Principle 7
,,,Automated Data Management Processes,PRI-02.2,"Automated mechanisms exist to adjust data that is able to be collected, received, processed, stored, transmitted, shared, updated and/or disposed, based on updated data subject authorization(s).",,,,,,CT.DM-P7,"PM-24
PT-2(2)
PT-3(2)",PM-24,,,,,,,,,,,,,,,,,,,,,,,,
,,,Personal Data (PD) Retention & Disposal,PRI-05,"Mechanisms exist to: 
(1) Retain Personal Data (PD), including metadata, for an organization-defined time period to fulfill the purpose(s) identified in the notice or as required by law;
(2) Dispose of, destroys, erases, and/or anonymizes the PD, regardless of the method of storage; and
(3) Use organization-defined techniques or methods to ensure secure deletion or destruction of PD (including originals, copies and archived records).","C1.1-POF3
C1.2
C1.2-POF1
C1.2-POF2
CC6.5
CC6.5-POF2
P4.0
P4.2
P4.2-POF1
P4.3
P4.3-POF2
P4.3-POF3",,"5.2.2
5.2.3",,"6.5
6.6",CT.DM-P5,"AC-4(25)
SI-12
SI-12(3)","SI-12
SI-12(3)",ID.AM-07,,II.5.b,4,,45.48.500,,,"15(a)
15(b)(2)",,"40(a)
40(b)
40(b)(1)
40(b)(2)
40(c)
40(d)
40(e)
40(f)",,4(7)(a),"47-18-3203(a)(2)(C)(i)(a)
47-18-3204(a)(4)",521.052(b),,,5.1(e),"11.4
18.1
18.2.a
18.2.b","APP Part 3
APP Part 6","APP 4
APP 6",,,"Sec 7
Sec 8
Principle 5
Principle 6"
,,,Data Tagging,PRI-11,Mechanisms exist to issue data modeling guidelines to support tagging of sensitive/regulated data.,,,,,,CT.DM-P7,PT-3(1),,,,,,,,,,,,,,,,,,,,,,,,,
5.1,Processing Records,Maintain a record of processing activities that documents the organization's necessary records to support its obligations for the processing of sensitive/regulated data.,Personal Data (PD) Lineage,PRI-09,"Mechanisms exist to maintain a process to document the lineage of Personal Data (PD) by recording how the organization collects, receives, processes, stores, transmits, shares, updates and/or disposes PD.",,,,,,"CM.AW-P4
CM.AW-P6",SA-4(12),,,,,,,,,,,,,,,,,,,,,,,,,
5.2,Data Flow Mapping,"Maintain a record of processing activities that documents the flow of personal data that includes:
 - Geographic locations and third-parties involved in the storage, transmission and/or processing of personal data;
 - Contact details of the controller(s) involved in the storage, transmission and/or processing of personal data;
 - The purposes of the storage, transmission and processing;
 - A description of the categories of data subjects and personal data;
 - Where possible, the time limits for erasure of the different categories of data; and
 - Where possible, a description of the cybersecurity & data privacy measures of the data controller.",Asset Inventories ,AST-02,"Mechanisms exist to perform inventories of Technology Assets, Applications, Services and/or Data (TAASD) that:
(1) Accurately reflects the current TAASD in use; 
(2) Identifies authorized software products, including business justification details;
(3) Is at the level of granularity deemed necessary for tracking and reporting;
(4) Includes organization-defined information deemed necessary to achieve effective property accountability; and
(5) Is available for review and audit by designated organizational personnel.","CC2.1-POF6
CC2.1-POF9
CC6.1-POF1",,,,,ID.IM-P1,"CM-8
PM-5",,"ID.AM
ID.AM-01
ID.AM-02",,,,164.310(d)(2)(iii),,"7123(c)(4)
7123(c)(4)(B)",,,,,,,,,,,,,,,,,
,,,Data Action Mapping,AST-02.8,"Mechanisms exist to create and maintain a map of Technology Assets, Applications and/or Services (TAAS) where sensitive/regulated data is stored, transmitted or processed.","CC2.1-POF5
CC2.1-POF9",,,,,"ID.IM-P1
ID.IM-P4
ID.IM-P5
ID.IM-P8",CM-13,,,,,,,,7123(c)(4)(A),,,,,,,,,,,,,,,,,
